matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527085320.353708,1527085320.930909,1.9844053763920097e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527085334.9241335,1527085352.162164,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527085362.504982,1527085383.2530186,1.2946629786532977e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527085387.3090255,1527085390.1482306,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527085397.0122428,1527085401.0526497,2.4163540916352726e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527085401.25545,1527085401.3646502,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527085411.3486679,1527085415.529475,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527085416.3094766,1527085416.8866775,1.984541852834143e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527085430.926702,1527085448.1647325,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527085457.6807494,1527085478.4599857,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527085482.6095932,1527085484.918397,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527085489.9416058,1527085493.8260126,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527085494.0288131,1527085494.1380131,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527085504.0908306,1527085508.162438,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527085508.9736395,1527085509.5508404,1.9843636733847246e-16,windows,mkl,0
